Candidate,Freq AUC,Freq LogLoss,Freq Brier,Sev MAE,Sev RMSE,Sev LogMAE,Comb wMAE,Comb wRMSE,Comb Spearman
A,0.6937511906163973,0.6338774300748882,0.22177315744254966,631.527994548821,1059.6944041659585,0.9791042362078137,223.13639737622017,258.46375837246666,0.8699638788552377
B,0.6914270266033449,0.635457861177618,0.22251188742254954,632.9253577178798,1060.7014642796894,0.9815939381832424,221.67226193508594,259.4520199728006,0.8728535704362325
C,0.6532766217786187,0.6578592077203107,0.2327510709135917,,,,79.41380278568887,119.92500047673114,0.7351486524034455
